EVENT_NAME,STATUS,ORGANIZER,URL,CITY,COUNTRY
R Camp Congo,Conf,Narcisse Mbunzama,,Kinshasa,Congo
rOpenSci Australia,Conf,Nicholas Tierney,,Melbourne,Australia
uRos2017,Conf,Ciprian Alexandru,http://www.r-project.ro/conference2017/index.html#Programme,Bucharest,Romania
deRSE19,Conf, , https://www.de-rse.org/de/conf2019/,Potsdam,Germany
Cascadia R Conference,Conf,,https://cascadiarconf.com/,Bellevue, USA
BioConductor,Conf,,http://bioc2019.bioconductor.org/index,New York,USA
UseR Toulouse,Conf,,http://user2019.r-project.org/faq/,Toulouse,France
EARL Conference,Conf,,https://earlconf.com/, London, UK
R/Medicine,Conf,,https://r-medicine.com/#r_medicine_2018,New Haven,USA
satRday Chicago,Conf,,https://chicago2019.satrdays.org/,Chicago,USA
New York R Conference,Conf,,https://www.rstats.nyc/,New York, USA